task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7915,0.9812,0.7915,,,,,,,,,,,,,,,,,,,,,0.7343,0.8583,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.9269,0.9618,0.9269,,,,,,,,,,,,,,,,,,,,,0.9876,0.8733,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8076,0.9631,0.8076,,,,,,,,,,,,,,,,,,,,,0.8982,0.7337,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.7298,0.9419,0.7298,,,,,,,,,,,,,,,,,,,,,0.9017,0.6129,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8196,0.9628,0.8196,,,,,,,,,,,,,,,,,,,,,0.9955,0.6965,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,1.1428484916687012,,,,,0.8330737948417664,,,,,,,,,,,0.125,1.1428484916687012,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,1.2100719213485718,,,,,0.8700848817825317,,,,,,,,,,,0.25,1.2100719213485718,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.5105443596839905,,,,,0.5222936868667603,,,,,,,,,,,0.125,0.5105443596839905,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.8668584227561951,,,,,0.6833876967430115,,,,,,,,,,,0.375,0.8668584227561951,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.42190778255462646,,,,,0.48511356115341187,,,,,,,,,,,0.5,0.42190778255462646,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.2964465022087097,,,,,0.3691057860851288,,,,,,,,,,,0.125,0.2964465022087097,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.2302069067955017,,,,,0.3216005563735962,,,,,,,,,,,0.25,0.2302069067955017,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.2406797558069229,,,,,0.3290427625179291,,,,,,,,,,,0.375,0.2406797558069229,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.5,ECL,0.8077507019042969,,,,,0.7080835103988647,,,,,,,,,,,0.5,0.8077507019042969,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.17999950051307678,,,,,0.25832289457321167,,,,,,,,,,,0.25,0.17999950051307678,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.46944257616996765,,,,,0.483634889125824,,,,,,,,,,,0.375,0.46944257616996765,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ili_24,ili,2.6678621768951416,,,long_term_forecast_ili_36_24_EST_custom_ftM_sl36_ll18_pl24_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,24.0,1.023196816444397,,,,,,,,,,,,2.6678621768951416,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ili_36,ili,2.48522686958313,,,long_term_forecast_ili_36_36_EST_custom_ftM_sl36_ll18_pl36_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,36.0,1.0152620077133179,,,,,,,,,,,,2.48522686958313,,,,,,,,,,,,
long_term_forecast,long_term_forecast_Exchange_96,Exchange,0.1457020491361618,,,long_term_forecast_Exchange_96_96_EST_custom_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.2714463472366333,,,,,,,,,,,,0.1457020491361618,,,,,,,,,,,,
long_term_forecast,long_term_forecast_traffic_96,traffic,0.6540234684944153,,,long_term_forecast_traffic_96_96_EST_custom_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.3605068027973175,,,,,,,,,,,,0.6540234684944153,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_96,ETTh2,0.3474985361099243,,,long_term_forecast_ETTh2_96_96_EST_ETTh2_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.3869491517543793,,,,,,,,,,,,0.3474985361099243,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_96,ETTh1,0.5027925968170166,,,long_term_forecast_ETTh1_96_96_EST_ETTh1_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.46279212832450867,,,,,,,,,,,,0.5027925968170166,,,,,,,,,,,,
long_term_forecast,long_term_forecast_weather_96,weather,0.18123409152030945,,,long_term_forecast_weather_96_96_EST_custom_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.23007138073444366,,,,,,,,,,,,0.18123409152030945,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ECL_96,ECL,0.4503297507762909,,,long_term_forecast_ECL_96_96_EST_custom_ftS_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.4861562252044678,,,,,,,,,,,,0.4503297507762909,,,,,,,,,,,,
