task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7823,0.9804,0.7823,,,,,,,,,,,,,,,,,,,,,0.7268,0.8471,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.9253,0.9609,0.9253,,,,,,,,,,,,,,,,,,,,,0.9845,0.8728,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8224,0.9657,0.8224,,,,,,,,,,,,,,,,,,,,,0.9072,0.752,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.7774,0.9503,0.7774,,,,,,,,,,,,,,,,,,,,,0.9112,0.6778,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8095,0.9611,0.8095,,,,,,,,,,,,,,,,,,,,,0.9974,0.6811,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,0.08205196261405945,,,,,0.20378772914409637,,,,,,,,,,,0.125,0.08205196261405945,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.13351303339004517,,,,,0.2627309262752533,,,,,,,,,,,0.25,0.13351303339004517,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.18833643198013306,,,,,0.3064216077327728,,,,,,,,,,,0.125,0.18833643198013306,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.20368964970111847,,,,,0.318133145570755,,,,,,,,,,,0.375,0.20368964970111847,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.24031825363636017,,,,,0.360670268535614,,,,,,,,,,,0.5,0.24031825363636017,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.053088683634996414,,,,,0.1120423823595047,,,,,,,,,,,0.375,0.053088683634996414,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.07064671814441681,,,,,0.14952704310417175,,,,,,,,,,,0.125,0.07064671814441681,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.19619712233543396,,,,,0.3095041513442993,,,,,,,,,,,0.25,0.19619712233543396,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.20247063040733337,,,,,0.3141046464443207,,,,,,,,,,,0.375,0.20247063040733337,,,,,,,,,,,,
imputation,imputation_weather_mask_0.5,weather,0.11668176203966141,,,,,0.20319412648677826,,,,,,,,,,,0.5,0.11668176203966141,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.09108389168977737,,,,,0.17914289236068726,,,,,,,,,,,0.25,0.09108389168977737,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.5,ECL,0.20614083111286163,,,,,0.3140634000301361,,,,,,,,,,,0.5,0.20614083111286163,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_96,ETTh2,3.237999677658081,,,long_term_forecast_ETTh2_96_96_EST_ETTh2_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,1.5306792259216309,,,,,,,,,,,,3.237999677658081,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_96,ETTh1,0.7532560229301453,,,long_term_forecast_ETTh1_96_96_EST_ETTh1_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.6627518534660339,,,,,,,,,,,,0.7532560229301453,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_192,ETTh2,2.5932328701019287,,,long_term_forecast_ETTh2_96_192_EST_ETTh2_ftM_sl96_ll48_pl192_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,192.0,1.3825916051864624,,,,,,,,,,,,2.5932328701019287,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm1_96,ETTm1,0.6100149154663086,,,long_term_forecast_ETTm1_96_96_EST_ETTm1_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.5654902458190918,,,,,,,,,,,,0.6100149154663086,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm2_96,ETTm2,0.8852630257606506,,,long_term_forecast_ETTm2_96_96_EST_ETTm2_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.7509724497795105,,,,,,,,,,,,0.8852630257606506,,,,,,,,,,,,
