task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7859,0.9807,0.7859,,,,,,,,,,,,,,,,,,,,,0.7296,0.8516,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.9237,0.9604,0.9237,,,,,,,,,,,,,,,,,,,,,0.9939,0.8627,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8212,0.9655,0.8212,,,,,,,,,,,,,,,,,,,,,0.9069,0.7502,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.6853,0.9346,0.6853,,,,,,,,,,,,,,,,,,,,,0.8915,0.5565,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8543,0.9686,0.8543,,,,,,,,,,,,,,,,,,,,,0.9792,0.7576,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,1.178426742553711,,,,,0.8248231410980225,,,,,,,,,,,0.125,1.178426742553711,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.4102293848991394,,,,,0.4893230199813843,,,,,,,,,,,0.25,0.4102293848991394,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.2808537781238556,,,,,0.39968401193618774,,,,,,,,,,,0.375,0.2808537781238556,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.24989981949329376,,,,,0.33392778038978577,,,,,,,,,,,0.125,0.24989981949329376,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.49266159534454346,,,,,0.5507745146751404,,,,,,,,,,,0.5,0.49266159534454346,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.6129323244094849,,,,,0.5929454565048218,,,,,,,,,,,0.125,0.6129323244094849,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.6878917813301086,,,,,0.6393840312957764,,,,,,,,,,,0.375,0.6878917813301086,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.46645402908325195,,,,,0.4845798909664154,,,,,,,,,,,0.25,0.46645402908325195,,,,,,,,,,,,
