task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7841,0.9805,0.7841,,,,,,,,,,,,,,,,,,,,,0.7277,0.85,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.9274,0.9622,0.9274,,,,,,,,,,,,,,,,,,,,,0.9922,0.8705,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8199,0.9653,0.8199,,,,,,,,,,,,,,,,,,,,,0.9063,0.7486,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.7792,0.9506,0.7792,,,,,,,,,,,,,,,,,,,,,0.9109,0.6807,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8042,0.9602,0.8042,,,,,,,,,,,,,,,,,,,,,0.998,0.6735,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,0.09586842358112335,,,,,0.22511233389377594,,,,,,,,,,,0.125,0.09586842358112335,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.13277387619018555,,,,,0.26931342482566833,,,,,,,,,,,0.25,0.13277387619018555,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.18163056671619415,,,,,0.31235283613204956,,,,,,,,,,,0.375,0.18163056671619415,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.1917410045862198,,,,,0.30976060032844543,,,,,,,,,,,0.125,0.1917410045862198,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.21374653279781342,,,,,0.34082844853401184,,,,,,,,,,,0.5,0.21374653279781342,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.06920015066862106,,,,,0.14251570403575897,,,,,,,,,,,0.125,0.06920015066862106,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.19398224353790283,,,,,0.30834558606147766,,,,,,,,,,,0.25,0.19398224353790283,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.2001051902770996,,,,,0.3116530776023865,,,,,,,,,,,0.375,0.2001051902770996,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.040317025035619736,,,,,0.09327104687690735,,,,,,,,,,,0.25,0.040317025035619736,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.5,ECL,0.2036992907524109,,,,,0.31327587366104126,,,,,,,,,,,0.5,0.2036992907524109,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.11454962193965912,,,,,0.19821178913116455,,,,,,,,,,,0.375,0.11454962193965912,,,,,,,,,,,,
imputation,imputation_weather_mask_0.5,weather,0.0823841542005539,,,,,0.16336101293563843,,,,,,,,,,,0.5,0.0823841542005539,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ili_24,ili,3.225773334503174,,,long_term_forecast_ili_36_24_EST_custom_ftM_sl36_ll18_pl24_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,24.0,1.1467387676239014,,,,,,,,,,,,3.225773334503174,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ili_36,ili,2.808223009109497,,,long_term_forecast_ili_36_36_EST_custom_ftM_sl36_ll18_pl36_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,36.0,1.0903794765472412,,,,,,,,,,,,2.808223009109497,,,,,,,,,,,,
long_term_forecast,long_term_forecast_Exchange_96,Exchange,0.12220132350921631,,,long_term_forecast_Exchange_96_96_EST_custom_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.24831265211105347,,,,,,,,,,,,0.12220132350921631,,,,,,,,,,,,
