task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7871,0.9808,0.7871,,,,,,,,,,,,,,,,,,,,,0.7309,0.8528,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.9283,0.9626,0.9283,,,,,,,,,,,,,,,,,,,,,0.9925,0.8719,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8085,0.9633,0.8085,,,,,,,,,,,,,,,,,,,,,0.8994,0.7342,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.7799,0.9508,0.7799,,,,,,,,,,,,,,,,,,,,,0.9125,0.6809,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8148,0.962,0.8148,,,,,,,,,,,,,,,,,,,,,0.9968,0.689,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,0.09253144264221191,,,,,0.2190651148557663,,,,,,,,,,,0.125,0.09253144264221191,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.21942470967769623,,,,,0.319707453250885,,,,,,,,,,,0.125,0.21942470967769623,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.23480291664600372,,,,,0.35003408789634705,,,,,,,,,,,0.25,0.23480291664600372,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.169504776597023,,,,,0.30026206374168396,,,,,,,,,,,0.375,0.169504776597023,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.10397697985172272,,,,,0.19341744482517242,,,,,,,,,,,0.125,0.10397697985172272,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.2119920253753662,,,,,0.33192121982574463,,,,,,,,,,,0.5,0.2119920253753662,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.22627553343772888,,,,,0.3228524327278137,,,,,,,,,,,0.25,0.22627553343772888,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.26406705379486084,,,,,0.3530254662036896,,,,,,,,,,,0.375,0.26406705379486084,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.10865019261837006,,,,,0.18896044790744781,,,,,,,,,,,0.25,0.10865019261837006,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.5,ECL,0.23817691206932068,,,,,0.3282826840877533,,,,,,,,,,,0.5,0.23817691206932068,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.09207309037446976,,,,,0.17628800868988037,,,,,,,,,,,0.375,0.09207309037446976,,,,,,,,,,,,
imputation,imputation_weather_mask_0.5,weather,0.14458957314491272,,,,,0.22765426337718964,,,,,,,,,,,0.5,0.14458957314491272,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_96,ETTh2,0.3575487434864044,,,long_term_forecast_ETTh2_96_96_EST_ETTh2_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.3884572684764862,,,,,,,,,,,,0.3575487434864044,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_96,ETTh1,0.46253636479377747,,,long_term_forecast_ETTh1_96_96_EST_ETTh1_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.44205108284950256,,,,,,,,,,,,0.46253636479377747,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm2_96,ETTm2,0.18788659572601318,,,long_term_forecast_ETTm2_96_96_EST_ETTm2_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.27086278796195984,,,,,,,,,,,,0.18788659572601318,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm1_96,ETTm1,0.365601509809494,,,long_term_forecast_ETTm1_96_96_EST_ETTm1_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.38725149631500244,,,,,,,,,,,,0.365601509809494,,,,,,,,,,,,
