task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7825,0.9804,0.7825,,,,,,,,,,,,,,,,,,,,,0.727,0.847,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.9283,0.9625,0.9283,,,,,,,,,,,,,,,,,,,,,0.9881,0.8754,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8204,0.9654,0.8204,,,,,,,,,,,,,,,,,,,,,0.9064,0.7493,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.6722,0.9327,0.6722,,,,,,,,,,,,,,,,,,,,,0.8924,0.5391,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.7923,0.9582,0.7923,,,,,,,,,,,,,,,,,,,,,0.9993,0.6563,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,0.35255080461502075,,,,,0.45238107442855835,,,,,,,,,,,0.125,0.35255080461502075,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.24664299190044403,,,,,0.3373701274394989,,,,,,,,,,,0.125,0.24664299190044403,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.3487606644630432,,,,,0.43745288252830505,,,,,,,,,,,0.25,0.3487606644630432,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.3954011797904968,,,,,0.4271297752857208,,,,,,,,,,,0.125,0.3954011797904968,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.32786813378334045,,,,,0.4251377284526825,,,,,,,,,,,0.375,0.32786813378334045,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.353093683719635,,,,,0.44462886452674866,,,,,,,,,,,0.5,0.353093683719635,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.23898260295391083,,,,,0.33146554231643677,,,,,,,,,,,0.25,0.23898260295391083,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.22829127311706543,,,,,0.30188193917274475,,,,,,,,,,,0.25,0.22829127311706543,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.24563562870025635,,,,,0.33620020747184753,,,,,,,,,,,0.375,0.24563562870025635,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_96,ETTh2,0.360447496175766,,,long_term_forecast_ETTh2_96_96_EST_ETTh2_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.3947483003139496,,,,,,,,,,,,0.360447496175766,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_96,ETTh1,0.5653899908065796,,,long_term_forecast_ETTh1_96_96_EST_ETTh1_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.49827879667282104,,,,,,,,,,,,0.5653899908065796,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ili_24,ili,3.574852228164673,,,long_term_forecast_ili_36_24_EST_custom_ftM_sl36_ll18_pl24_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,24.0,1.2665457725524902,,,,,,,,,,,,3.574852228164673,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ili_36,ili,3.445643663406372,,,long_term_forecast_ili_36_36_EST_custom_ftM_sl36_ll18_pl36_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,36.0,1.2466015815734863,,,,,,,,,,,,3.445643663406372,,,,,,,,,,,,
long_term_forecast,long_term_forecast_Exchange_96,Exchange,0.13588936626911163,,,long_term_forecast_Exchange_96_96_EST_custom_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.26402929425239563,,,,,,,,,,,,0.13588936626911163,,,,,,,,,,,,
long_term_forecast,long_term_forecast_traffic_96,traffic,0.7718485593795776,,,long_term_forecast_traffic_96_96_EST_custom_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.4246882200241089,,,,,,,,,,,,0.7718485593795776,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm1_96,ETTm1,0.4198495149612427,,,long_term_forecast_ETTm1_96_96_EST_ETTm1_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.4210035800933838,,,,,,,,,,,,0.4198495149612427,,,,,,,,,,,,
long_term_forecast,long_term_forecast_weather_96,weather,0.18820065259933472,,,long_term_forecast_weather_96_96_EST_custom_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.23620502650737762,,,,,,,,,,,,0.18820065259933472,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm2_96,ETTm2,0.21838748455047607,,,long_term_forecast_ETTm2_96_96_EST_ETTm2_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.2944566309452057,,,,,,,,,,,,0.21838748455047607,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ECL_96,ECL,0.4549669921398163,,,long_term_forecast_ECL_96_96_EST_custom_ftS_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.491563618183136,,,,,,,,,,,,0.4549669921398163,,,,,,,,,,,,
classification,classification_EthanolConcentration,EthanolConcentration,0.2965779467680608,0.2965779467680608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_FaceDetection,FaceDetection,0.5008513053348468,0.5008513053348468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_Handwriting,Handwriting,0.1635294117647059,0.1635294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_Heartbeat,Heartbeat,0.7560975609756098,0.7560975609756098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_JapaneseVowels,JapaneseVowels,0.8513513513513513,0.8513513513513513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_PEMS_SF,PEMS_SF,0.8786127167630058,0.8786127167630058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_SelfRegulationSCP1,SelfRegulationSCP1,0.8873720136518771,0.8873720136518771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_SelfRegulationSCP2,SelfRegulationSCP2,0.5722222222222222,0.5722222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_SpokenArabicDigits,SpokenArabicDigits,0.9590723055934516,0.9590723055934516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,classification_UWaveGestureLibrary,UWaveGestureLibrary,0.803125,0.803125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short_term_forecast,short_term_forecast_m4_Monthly,Monthly,1.07,,,,,,14.684,16.592,6.523,12.792,14.449,2.021,1.388,4.114,1.602,3.324,,,1.07,1.228,1.335,1.165,0.86,,,14.684,16.592,6.523,12.792,14.449
short_term_forecast,short_term_forecast_m4_Yearly,Yearly,1.066,,,,,,14.638,16.592,6.523,12.792,14.25,2.013,1.388,4.114,1.602,3.291,,,1.066,1.228,1.335,1.165,0.85,,,14.638,16.592,6.523,12.792,14.25
short_term_forecast,short_term_forecast_m4_Quarterly,Quarterly,1.115,,,,,,15.21,16.592,6.523,15.176,14.25,2.12,1.388,4.114,2.047,3.291,,,1.115,1.228,1.335,1.435,0.85,,,15.21,16.592,6.523,15.176,14.25
short_term_forecast,short_term_forecast_m4_Weekly,Weekly,1.115,,,,,,15.209,16.592,6.505,15.176,14.25,2.12,1.388,4.121,2.047,3.291,,,1.115,1.228,1.334,1.435,0.85,,,15.209,16.592,6.505,15.176,14.25
short_term_forecast,short_term_forecast_m4_Daily,Daily,1.114,,,,,,15.206,16.592,6.441,15.176,14.25,2.118,1.388,4.073,2.047,3.291,,,1.114,1.228,1.32,1.435,0.85,,,15.206,16.592,6.441,15.176,14.25
short_term_forecast,short_term_forecast_m4_Hourly,Hourly,1.113,,,,,,15.196,16.592,6.249,15.176,14.25,2.116,1.388,4.027,2.047,3.291,,,1.113,1.228,1.293,1.435,0.85,,,15.196,16.592,6.249,15.176,14.25
