task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7816,0.9804,0.7816,,,,,,,,,,,,,,,,,,,,,0.7268,0.8454,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.925,0.9608,0.925,,,,,,,,,,,,,,,,,,,,,0.9846,0.8723,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8214,0.9656,0.8214,,,,,,,,,,,,,,,,,,,,,0.9065,0.7509,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.6867,0.9349,0.6867,,,,,,,,,,,,,,,,,,,,,0.8938,0.5575,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.7948,0.9586,0.7948,,,,,,,,,,,,,,,,,,,,,0.9989,0.66,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,0.23116205632686615,,,,,0.35194674134254456,,,,,,,,,,,0.125,0.23116205632686615,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.22849008440971375,,,,,0.33098018169403076,,,,,,,,,,,0.125,0.22849008440971375,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.20942798256874084,,,,,0.33826664090156555,,,,,,,,,,,0.25,0.20942798256874084,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.13642971217632294,,,,,0.2176308035850525,,,,,,,,,,,0.375,0.13642971217632294,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.24507777392864227,,,,,0.3688594400882721,,,,,,,,,,,0.375,0.24507777392864227,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.12350092828273773,,,,,0.2191517949104309,,,,,,,,,,,0.125,0.12350092828273773,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.22814828157424927,,,,,0.3295184373855591,,,,,,,,,,,0.25,0.22814828157424927,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.29242241382598877,,,,,0.39871859550476074,,,,,,,,,,,0.5,0.29242241382598877,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.23045270144939423,,,,,0.33201074600219727,,,,,,,,,,,0.375,0.23045270144939423,,,,,,,,,,,,
imputation,imputation_weather_mask_0.5,weather,0.06431546062231064,,,,,0.13305263221263885,,,,,,,,,,,0.5,0.06431546062231064,,,,,,,,,,,,
imputation,imputation_weather_mask_0.25,weather,0.22077548503875732,,,,,0.30013802647590637,,,,,,,,,,,0.25,0.22077548503875732,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.5,ECL,0.2367597073316574,,,,,0.3324771225452423,,,,,,,,,,,0.5,0.2367597073316574,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_96,ETTh2,0.35659661889076233,,,long_term_forecast_ETTh2_96_96_EST_ETTh2_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.39461150765419006,,,,,,,,,,,,0.35659661889076233,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh1_96,ETTh1,0.5532746911048889,,,long_term_forecast_ETTh1_96_96_EST_ETTh1_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.49536195397377014,,,,,,,,,,,,0.5532746911048889,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTh2_192,ETTh2,0.4437088370323181,,,long_term_forecast_ETTh2_96_192_EST_ETTh2_ftM_sl96_ll48_pl192_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,192.0,0.43639516830444336,,,,,,,,,,,,0.4437088370323181,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm2_96,ETTm2,0.2011740803718567,,,long_term_forecast_ETTm2_96_96_EST_ETTm2_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.2836061120033264,,,,,,,,,,,,0.2011740803718567,,,,,,,,,,,,
long_term_forecast,long_term_forecast_ETTm1_96,ETTm1,0.37648555636405945,,,long_term_forecast_ETTm1_96_96_EST_ETTm1_ftM_sl96_ll48_pl96_dm32_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0,96.0,0.400972843170166,,,,,,,,,,,,0.37648555636405945,,,,,,,,,,,,
