task_type,task_name,dataset,main_metric,accuracy,f_score,full_task_name,horizon,mae,mape_average,mape_monthly,mape_others,mape_quarterly,mape_yearly,mase_average,mase_monthly,mase_others,mase_quarterly,mase_yearly,mask_ratio,mse,owa_average,owa_monthly,owa_others,owa_quarterly,owa_yearly,precision,recall,smape_average,smape_monthly,smape_others,smape_quarterly,smape_yearly
anomaly_detection,anomaly_detection_SMD,SMD,0.7776,0.98,0.7776,,,,,,,,,,,,,,,,,,,,,0.7245,0.839,,,,,
anomaly_detection,anomaly_detection_PSM,PSM,0.8996,0.9488,0.8996,,,,,,,,,,,,,,,,,,,,,0.9866,0.8267,,,,,
anomaly_detection,anomaly_detection_MSL,MSL,0.8202,0.9654,0.8202,,,,,,,,,,,,,,,,,,,,,0.9063,0.749,,,,,
anomaly_detection,anomaly_detection_SMAP,SMAP,0.7262,0.9413,0.7262,,,,,,,,,,,,,,,,,,,,,0.9003,0.6085,,,,,
anomaly_detection,anomaly_detection_SWAT,SWAT,0.8205,0.9629,0.8205,,,,,,,,,,,,,,,,,,,,,0.9959,0.6976,,,,,
imputation,imputation_ETTh1_mask_0.125,ETTh1,0.10684371739625931,,,,,0.24055953323841095,,,,,,,,,,,0.125,0.10684371739625931,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.25,ETTh1,0.1772574931383133,,,,,0.3182474374771118,,,,,,,,,,,0.25,0.1772574931383133,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.375,ETTh1,0.2399054914712906,,,,,0.33923792839050293,,,,,,,,,,,0.375,0.2399054914712906,,,,,,,,,,,,
imputation,imputation_weather_mask_0.375,weather,0.2290603518486023,,,,,0.3154287338256836,,,,,,,,,,,0.375,0.2290603518486023,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.125,ECL,0.21705156564712524,,,,,0.3198142945766449,,,,,,,,,,,0.125,0.21705156564712524,,,,,,,,,,,,
imputation,imputation_ETTh1_mask_0.5,ETTh1,0.27815818786621094,,,,,0.38917455077171326,,,,,,,,,,,0.5,0.27815818786621094,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.25,ECL,0.22076621651649475,,,,,0.3216238021850586,,,,,,,,,,,0.25,0.22076621651649475,,,,,,,,,,,,
imputation,imputation_weather_mask_0.125,weather,0.22848843038082123,,,,,0.3140893578529358,,,,,,,,,,,0.125,0.22848843038082123,,,,,,,,,,,,
imputation,imputation_ECL_mask_0.375,ECL,0.22452206909656525,,,,,0.3220576047897339,,,,,,,,,,,0.375,0.22452206909656525,,,,,,,,,,,,
